project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,camera_name,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by,remarks
2003592,L26C14,L26,-119.882728,34.420364,2021-05-20 00:00:00,2021-05-25 00:00:00,None,,Other,Log,2028496,C14,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H8C11,H8,-119.881253,34.421972,2021-04-29 00:00:00,2021-05-04 00:00:00,None,,Other,Boulder,2028214,C11,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H40C8,H40,-119.87943,34.420427,2021-05-13 00:00:00,2021-05-18 00:00:00,None,,Other,Constructed Hibernacula,2028039,C8,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H39C10,H39,-119.878562,34.419965,2021-04-29 00:00:00,2021-05-04 00:00:00,None,,Other,Constructed Hibernacula,2028072,C10,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H9C12,H9,-119.88181,34.421872,2021-04-22 00:00:00,2021-04-27 00:00:00,None,,Other,Constructed Hibernacula,2028303,C12,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H17C5,H17,-119.880326,34.42077,2021-04-22 00:00:00,2021-04-27 00:00:00,None,,Other,Constructed Hibernacula,2028314,C5,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H39C9,H39,-119.878562,34.419965,2021-04-29 00:00:00,2021-05-04 00:00:00,None,,Other,Constructed Hibernacula,2028071,C9,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,B29C7,B29,-119.8782324,34.419928,2021-05-20 00:00:00,2021-05-25 00:00:00,None,,Other,Boulder,2028036,C7,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H21C3,H21,-119.877406,34.419903,2021-05-20 00:00:00,2021-05-25 00:00:00,None,,Other,Constructed Hibernacula,2028436,C3,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H36C5,H36,-119.878198,34.419551,2021-05-20 00:00:00,2021-05-25 00:00:00,None,,Other,Constructed Hibernacula,2028314,C5,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,L26C2,L26,-119.882728,34.420364,2021-05-20 00:00:00,2021-05-25 00:00:00,None,,Other,Log,2028495,C2,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,B12C2,B12,-119.879871,34.421174,2021-05-13 00:00:00,2021-05-18 00:00:00,None,,Other,Boulder,2028495,C2,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,B11C5,B11,-119.881008,34.421292,2021-04-29 00:00:00,2021-05-04 00:00:00,None,,Other,Boulder,2028314,C5,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H9C11,H9,-119.88181,34.421872,2021-04-22 00:00:00,2021-04-27 00:00:00,None,,Other,Constructed Hibernacula,2028214,C11,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H7C12,H7,-119.8807533,34.4219544,2021-05-06 00:00:00,2021-05-11 00:00:00,None,,Other,Constructed Hibernacula,2028303,C12,10,Memory Card,Knee height,,Parallel,,,,,,,,,,,
2003592,L30C9,L30,-119.880816,34.420915,2021-05-13 00:00:00,2021-05-18 00:00:00,None,,Other,Constructed Hibernacula,2028071,C9,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,L45C4,L45,-119.879702,34.420394,2021-04-22 00:00:00,2021-04-27 00:00:00,None,,Other,Log,2028437,C4,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,L59C10,L59,-119.8801078,34.4191927,2021-05-20 00:00:00,2021-05-25 00:00:00,None,,Other,Log,2028072,C10,10,Unknown Failure,Knee height,,Parallel,,,,,,,,,,,
2003592,H2C12,H2,-119.874441,34.419386,2021-05-13 00:00:00,2021-05-18 00:00:00,None,,Other,Constructed Hibernacula,2028303,C12,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H4C12,H4,-119.8742022,34.4189948,2021-05-20 00:00:00,2021-05-25 00:00:00,None,,Other,Constructed Hibernacula,2028303,C12,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,L34C4,L34,-119.878862,34.420634,2021-05-06 00:00:00,2021-05-11 00:00:00,None,,Other,Log,2028437,C4,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,L49C3,L49,-119.8789428,34.4196849,2021-05-13 00:00:00,2021-05-18 00:00:00,None,,Other,Log,2028436,C3,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,L58C8,L58,-119.881312,34.419712,2021-04-29 00:00:00,2021-05-04 00:00:00,None,,Other,Log,2028039,C8,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H17C6,H17,-119.880326,34.42077,2021-04-22 00:00:00,2021-04-27 00:00:00,None,,Other,Constructed Hibernacula,2028313,C6,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,L30C10,L30,-119.880816,34.420915,2021-05-13 00:00:00,2021-05-18 00:00:00,None,,Other,Log,2028072,C10,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H46C2,H46,-119.881389,34.420141,2021-04-29 00:00:00,2021-05-04 00:00:00,None,,Other,Constructed Hibernacula,2028495,C2,10,Memory Card,Knee height,,Parallel,,,,,,,,,,,seems like camera ran out of memory on May 2. 
2003592,L56,L56,-119.88033,34.420768,2021-04-22 00:00:00,2021-04-27 00:00:00,None,,Other,Log,2028036,C7,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,L28C7,L28,-119.882601,34.420701,2021-05-06 00:00:00,2021-05-11 00:00:00,None,,Other,Log,2028036,C7,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H2C11,H2,-119.874441,34.419386,2021-05-13 00:00:00,2021-05-18 00:00:00,None,,Other,Constructed Hibernacula,2028214,C11,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H35C5,H35,-119.878348,34.419231,2021-05-13 00:00:00,2021-05-18 00:00:00,None,,Other,Constructed Hibernacula,2028314,C5,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H8C12,H8,-119.881253,34.421972,2021-04-29 00:00:00,2021-05-04 00:00:00,None,,Other,Constructed Hibernacula,2028303,C12,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,L45C3,L45,-119.879702,34.420394,2021-04-22 00:00:00,2021-04-27 00:00:00,None,,Other,Log,2028436,C3,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H42C10,H42,-119.8802218,34.420001,2021-05-06 00:00:00,2021-05-11 00:00:00,None,,Other,Constructed Hibernacula,2028072,C10,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H42C9,H42,-119.8802218,34.420001,2021-05-06 00:00:00,2021-05-11 00:00:00,None,,Other,Constructed Hibernacula,2028071,C9,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,B23C6,B23,-119.878084,34.419932,2021-05-06 00:00:00,2021-05-11 00:00:00,None,,Other,Boulder,2028313,C6,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H7C11,H7,-119.8807533,34.4219544,2021-05-06 00:00:00,2021-05-11 00:00:00,None,,Other,Constructed Hibernacula,2028214,C11,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,B29C8,B29,-119.8782324,34.419928,2021-05-20 00:00:00,2021-05-25 00:00:00,None,,Other,Boulder,2028039,C8,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,B23C5,B23,-119.878084,34.419932,2021-05-06 00:00:00,2021-05-11 00:00:00,None,,Other,Boulder,2028314,C5,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,B12C14,B12,-119.879871,34.421174,2021-05-13 00:00:00,2021-05-18 00:00:00,None,,Other,Boulder,2028496,C14,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,L49C4,L49,-119.8789428,34.4196849,2021-05-13 00:00:00,2021-05-18 00:00:00,None,,Other,Log,2028437,C4,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H40C7,H40,-119.87943,34.420427,2021-05-13 00:00:00,2021-05-18 00:00:00,None,,Other,Constructed Hibernacula,2028036,C7,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H21C4,H21,-119.877406,34.419903,2021-05-20 00:00:00,2021-05-25 00:00:00,None,,Other,Constructed Hibernacula,2028437,C4,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,B2C10,B2,-119.878594,34.418968,2021-04-22 00:00:00,2021-04-27 00:00:00,None,,Other,Boulder,2028072,C10,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,B11C6,B11,-119.881008,34.421292,2021-04-29 00:00:00,2021-05-04 00:00:00,None,,Other,Boulder,2028313,C6,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H13C14,H13,-119.882581,34.420573,2021-05-06 00:00:00,2021-05-11 00:00:00,None,,Other,Constructed Hibernacula,2028496,C14,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,L34C3,L34,-119.878862,34.420634,2021-05-06 00:00:00,2021-05-11 00:00:00,None,,Other,Log,2028436,C3,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H35C6,H35,-119.878348,34.419231,2021-05-13 00:00:00,2021-05-18 00:00:00,None,,Other,Constructed Hibernacula,2028313,C6,10,Memory Card,Knee height,,Parallel,,,,,,,,,,,
2003592,B2C9,B2,-119.878594,34.418968,2021-04-22 00:00:00,2021-04-27 00:00:00,None,,Other,Boulder,2028071,C9,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,Ran out of memory
2003592,H46C14,H46,-119.881389,34.420141,2021-04-29 00:00:00,2021-05-04 00:00:00,None,,Other,Constructed Hibernacula,2028496,C14,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,