placename,longitude,latitude
h1,-119.8745026,34.41958201
h2,-119.8744417,34.41938348
h3,-119.8741451,34.41923268
h4,-119.8742015,34.41899386
h5,-119.8740234,34.41865989
h6,-119.8795164,34.42145278
h7,-119.8807535,34.42195425
h8,-119.8812528,34.42196526
h9,-119.8818212,34.42186336
h10,-119.8840836,34.42087449
h11,-119.8832652,34.42074069
h12,-119.8822803,34.42041179
h13,-119.882581,34.42057299
h14,-119.881995,34.42067614
h15,-119.8813838,34.42084744
h16,-119.8807587,34.420817
h17,-119.880327,34.42076863
h18,-119.8799083,34.42055693
h19,-119.8792463,34.42061659
h20,-119.8788007,34.42036145
h21,-119.8774069,34.41989886
h22,-119.8775398,34.41943327
h23,-119.8770611,34.4192715
h24,-119.8767654,34.41857644
h25,-119.8772229,34.41877054
h26,-119.8774305,34.4190844
h27,-119.8773491,34.41846668
h28,-119.8774437,34.41807961
h29,-119.8768901,34.4181306
h30,-119.8777804,34.41818106
h31,-119.8780258,34.41798966
h32,-119.8778038,34.41848892
h33,-119.8777529,34.41886055
h34,-119.878076,34.41912184
h35,-119.878344,34.41922971
h36,-119.8781983,34.41954904
h37,-119.8778921,34.4198996
h38,-119.8781835,34.42022639
h39,-119.8785618,34.41996601
h40,-119.8794315,34.42042213
h41,-119.8797953,34.42022896
h42,-119.8802216,34.42000085
h43,-119.8807865,34.42038563
h44,-119.8811845,34.42063314
h45,-119.8814359,34.42046572
h46,-119.8813901,34.42013936
h47,-119.880367,34.4197838
h48,-119.8796668,34.41971893
h49,-119.8783581,34.4189041
h50,-119.8782205,34.41867737
h51,-119.8781033,34.41831631
h52,-119.8780248,34.41798994
h53,-119.8783213,34.41805815
h54,-119.8789821,34.41797312
h55,-119.8786091,34.41825704
h56,-119.8785618,34.41848986
h57,-119.879082,34.41857638
h58,-119.8790581,34.41908959
h59,-119.8803482,34.41928067
h60,-119.8801351,34.41899735
h61,-119.8797409,34.41911403
h62,-119.8794784,34.41878806
h63,-119.8795695,34.41779802
h64,-119.8803909,34.42044268