site,habitat_type,trail,notable_entrances
B11,Marsh,no,1
B12,Marsh,no,3
B2,Grassland,no,4
B23,Scrub,no,1
B29,Scrub,no,1
H11,Marsh,no,5
H12,Scrub,no,5
H13,Marsh,no,6
H15,Marsh,no,6
H16,Marsh,no,10
H17,Marsh,no,5
H19,Marsh,no,2
H2,Marsh,yes,
H20,Marsh,no,6
H21,Marsh,no,4
H22,Marsh,no,7
H23,Marsh,no,2
H24,Grassland,no,7
H25,Grassland,no,4
H33,Grassland,no,8
H34,Grassland,no,6
H35,Grassland,no,13
H36,Scrub,no,4
H37,Scrub,no,5
H38,Scrub,no,5
H39,Scrub,no,4
H4,Marsh,yes,3
H40,Marsh,no,3
H41,Scrub,no,3
H42,Scrub,no,3
H43,Scrub,no,3
H46,Scrub,no,9
H47,Grassland,no,8
H48,Grassland,no,
H49,Grassland,no,10
H58,Grassland,no,11
H59,Grassland,no,6
H60,Grassland,no,8
H64,Scrub,no,5
H7,Grassland,yes,8
H8,Grassland,yes,9
H9,Grassland,yes,11
L26,Scrub,no,0
L28,Marsh,no,1
L30,Marsh,no,1
L34,Marsh,no,1
L45,Scrub,no,1
L49,Scrub,no,2
L58,Scrub,no,1
L59,Grassland,no,9